1,1.5285420026582268,0.03438830375671387,0,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.49117838608423,0.034567832946777344,1,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4562008844963985,0.033016204833984375,2,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4485208087241384,0.03742337226867676,3,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4577345378750197,0.03308367729187012,4,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4580307092917113,0.034224748611450195,5,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.445277282973457,0.03180694580078125,6,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4661341667860457,0.035372018814086914,7,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.492269883950888,0.033635854721069336,8,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4670183315793426,0.03383827209472656,9,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4605431785100216,0.03241753578186035,10,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
